ID,Name,Event Date,Event Time,Event DateTime,Last Login,Registration,Status
1,John Doe,2023-01-15,14:30:00,2023-01-15 14:30:00,2023-01-20 09:15:30,2023-01-01 10:00:00,Active
2,Jane Smith,2023-02-20,16:45:30,2023-02-20 16:45:30,2023-02-25 11:22:15,2023-02-01 14:30:00,Active
3,Bob Johnson,2023-01-10,08:15:45,2023-01-10 08:15:45,2023-01-15 16:45:00,2023-01-05 09:15:00,Inactive
4,Alice Williams,2023-03-05,12:00:00,2023-03-05 12:00:00,2023-03-10 13:30:45,2023-03-01 11:00:00,Active
5,Charlie Brown,2023-02-28,18:30:15,2023-02-28 18:30:15,2023-03-05 10:15:30,2023-02-15 16:45:00,Active
6,Diana Wilson,2023-01-25,09:45:30,2023-01-25 09:45:30,2023-01-30 14:20:00,2023-01-20 08:30:00,Inactive
7,Frank Miller,2023-03-15,15:20:45,2023-03-15 15:20:45,2023-03-20 12:10:15,2023-03-10 13:15:00,Active
8,Grace Davis,2023-02-10,11:30:00,2023-02-10 11:30:00,2023-02-15 15:45:30,2023-02-05 10:30:00,Active
9,Henry Garcia,2023-01-30,13:15:30,2023-01-30 13:15:30,2023-02-05 09:30:00,2023-01-25 12:00:00,Inactive
10,Iris Martinez,2023-03-20,17:45:00,2023-03-20 17:45:00,2023-03-25 16:30:45,2023-03-15 14:45:00,Active
